 Mu              Hu 				
 0.10000000E+06  0.84891389E+06
 0.99000000E+05  0.84881382E+06
 0.98000000E+05  0.84871248E+06
 0.97000000E+05  0.84860985E+06
 0.96000000E+05  0.84850589E+06
 0.95000000E+05  0.84840059E+06
 0.94000000E+05  0.84829393E+06
 0.93000000E+05  0.84818587E+06
 0.92000000E+05  0.84807639E+06
 0.91000000E+05  0.84796548E+06
 0.90000000E+05  0.84785309E+06
 0.89000000E+05  0.84773920E+06
 0.88000000E+05  0.84762379E+06
 0.87000000E+05  0.84750682E+06
 0.86000000E+05  0.84738827E+06
 0.85000000E+05  0.84726811E+06
 0.84000000E+05  0.84714631E+06
 0.83000000E+05  0.84702283E+06
 0.82000000E+05  0.84689764E+06
 0.81000000E+05  0.84677071E+06
 0.80000000E+05  0.84664200E+06
 0.79000000E+05  0.84651148E+06
 0.78000000E+05  0.84637912E+06
 0.77000000E+05  0.84624487E+06
 0.76000000E+05  0.84610869E+06
 0.75000000E+05  0.84597056E+06
 0.74000000E+05  0.84583042E+06
 0.73000000E+05  0.84568823E+06
 0.72000000E+05  0.84554396E+06
 0.71000000E+05  0.84539755E+06
 0.70000000E+05  0.84524897E+06
 0.69000000E+05  0.84509816E+06
 0.68000000E+05  0.84494507E+06
 0.67000000E+05  0.84478967E+06
 0.66000000E+05  0.84463189E+06
 0.65000000E+05  0.84447168E+06
 0.64000000E+05  0.84430899E+06
 0.63000000E+05  0.84414376E+06
 0.62000000E+05  0.84397593E+06
 0.61000000E+05  0.84380545E+06
 0.60000000E+05  0.84363225E+06
 0.59000000E+05  0.84345626E+06
 0.58000000E+05  0.84327742E+06
 0.57000000E+05  0.84309567E+06
 0.56000000E+05  0.84291092E+06
 0.55000000E+05  0.84272312E+06
 0.54000000E+05  0.84253217E+06
 0.53000000E+05  0.84233801E+06
 0.52000000E+05  0.84214055E+06
 0.51000000E+05  0.84193970E+06
 0.50000000E+05  0.84173539E+06
 0.49000000E+05  0.84152751E+06
 0.48000000E+05  0.84131598E+06
 0.47000000E+05  0.84110069E+06
 0.46000000E+05  0.84088155E+06
 0.45000000E+05  0.84065845E+06
 0.44000000E+05  0.84043128E+06
 0.43000000E+05  0.84019992E+06
 0.42000000E+05  0.83996426E+06
