 Mu              Hu               
 0.77664000E+05  0.78538452E+06
 0.77405120E+05  0.78572507E+06
 0.77146240E+05  0.78606457E+06
 0.76887360E+05  0.78640301E+06
 0.76628480E+05  0.78674039E+06
 0.76369600E+05  0.78707670E+06
 0.76110720E+05  0.78741195E+06
 0.75851840E+05  0.78774613E+06
 0.75592960E+05  0.78807924E+06
 0.75334080E+05  0.78841127E+06
 0.75075200E+05  0.78874221E+06
 0.74816320E+05  0.78907207E+06
 0.74557440E+05  0.78940084E+06
 0.74298560E+05  0.78972852E+06
 0.74039680E+05  0.79005510E+06
 0.73780800E+05  0.79038058E+06
 0.73521920E+05  0.79070496E+06
 0.73263040E+05  0.79102823E+06
 0.73004160E+05  0.79135040E+06
 0.72745280E+05  0.79167144E+06
 0.72486400E+05  0.79199137E+06
 0.72227520E+05  0.79231018E+06
 0.71968640E+05  0.79262786E+06
 0.71709760E+05  0.79294441E+06
 0.71450880E+05  0.79325983E+06
 0.71192000E+05  0.79357412E+06
 0.70933120E+05  0.79388726E+06
 0.70674240E+05  0.79419926E+06
 0.70415360E+05  0.79451012E+06
 0.70156480E+05  0.79481983E+06
 0.69897600E+05  0.79512838E+06
 0.69638720E+05  0.79543578E+06
 0.69379840E+05  0.79574201E+06
 0.69120960E+05  0.79604708E+06
 0.68862080E+05  0.79635099E+06
 0.68603200E+05  0.79665372E+06
 0.68344320E+05  0.79695528E+06
 0.68085440E+05  0.79725566E+06
 0.67826560E+05  0.79755486E+06
 0.67567680E+05  0.79785288E+06
 0.67308800E+05  0.79814971E+06
 0.67049920E+05  0.79844534E+06
 0.66791040E+05  0.79873979E+06
 0.66532160E+05  0.79903303E+06
 0.66273280E+05  0.79932507E+06
 0.66014400E+05  0.79961591E+06
 0.65755520E+05  0.79990553E+06
 0.65496640E+05  0.80019395E+06
 0.65237760E+05  0.80048115E+06
 0.64978880E+05  0.80076713E+06
 0.64720000E+05  0.80105189E+06
 0.64461120E+05  0.80133543E+06
 0.64202240E+05  0.80161773E+06
 0.63943360E+05  0.80189881E+06
 0.63684480E+05  0.80217865E+06
 0.63425600E+05  0.80245724E+06
 0.63166720E+05  0.80273460E+06
 0.62907840E+05  0.80301071E+06
 0.62648960E+05  0.80328558E+06
 0.62390080E+05  0.80355919E+06
 0.62131200E+05  0.80383154E+06
 0.61872320E+05  0.80410264E+06
 0.61613440E+05  0.80437248E+06
 0.61354560E+05  0.80464104E+06
 0.61095680E+05  0.80490835E+06
 0.60836800E+05  0.80517437E+06
 0.60577920E+05  0.80543913E+06
 0.60319040E+05  0.80570260E+06
 0.60060160E+05  0.80596480E+06
 0.59801280E+05  0.80622571E+06
 0.59542400E+05  0.80648532E+06
 0.59283520E+05  0.80674365E+06
 0.59024640E+05  0.80700069E+06
 0.58765760E+05  0.80725642E+06
 0.58506880E+05  0.80751085E+06
 0.58248000E+05  0.80776398E+06
 0.57989120E+05  0.80801580E+06
 0.57730240E+05  0.80826631E+06
 0.57471360E+05  0.80851551E+06
 0.57212480E+05  0.80876338E+06
 0.56953600E+05  0.80900994E+06
 0.56694720E+05  0.80925517E+06
 0.56435840E+05  0.80949907E+06
 0.56176960E+05  0.80974164E+06
 0.55918080E+05  0.80998288E+06
 0.55659200E+05  0.81022278E+06
 0.55400320E+05  0.81046134E+06
 0.55141440E+05  0.81069855E+06
 0.54882560E+05  0.81093442E+06
 0.54623680E+05  0.81116894E+06
 0.54364800E+05  0.81140210E+06
 0.54105920E+05  0.81163390E+06
 0.53847040E+05  0.81186435E+06
 0.53588160E+05  0.81209343E+06
 0.53329280E+05  0.81232114E+06
 0.53070400E+05  0.81254748E+06
 0.52811520E+05  0.81277245E+06
 0.52552640E+05  0.81299604E+06
 0.52293760E+05  0.81321825E+06
 0.52034880E+05  0.81343908E+06
 0.51776000E+05  0.81365852E+06
 0.51517120E+05  0.81387657E+06
 0.51258240E+05  0.81409322E+06
 0.50999360E+05  0.81430848E+06
 0.50740480E+05  0.81452233E+06
 0.50481600E+05  0.81473479E+06
 0.50222720E+05  0.81494583E+06
 0.49963840E+05  0.81515546E+06
 0.49704960E+05  0.81536368E+06
 0.49446080E+05  0.81557048E+06
 0.49187200E+05  0.81577586E+06
 0.48928320E+05  0.81597982E+06
 0.48669440E+05  0.81618235E+06
 0.48410560E+05  0.81638344E+06
 0.48151680E+05  0.81658310E+06
 0.47892800E+05  0.81678132E+06
 0.47633920E+05  0.81697810E+06
 0.47375040E+05  0.81717344E+06
 0.47116160E+05  0.81736733E+06
 0.46857280E+05  0.81755976E+06
 0.46598400E+05  0.81775074E+06
 0.46339520E+05  0.81794025E+06
 0.46080640E+05  0.81812831E+06
 0.45821760E+05  0.81831489E+06
 0.45562880E+05  0.81850001E+06
 0.45304000E+05  0.81868365E+06
 0.45045120E+05  0.81886582E+06
 0.44786240E+05  0.81904650E+06
 0.44527360E+05  0.81922570E+06
 0.44268480E+05  0.81940341E+06
 0.44009600E+05  0.81957963E+06
 0.43750720E+05  0.81975435E+06
 0.43491840E+05  0.81992757E+06
 0.43232960E+05  0.82009929E+06
 0.42974080E+05  0.82026950E+06
 0.42715200E+05  0.82043820E+06
 0.42456320E+05  0.82060539E+06
 0.42197440E+05  0.82077105E+06
 0.41938560E+05  0.82093519E+06
 0.41679680E+05  0.82109781E+06
 0.41420800E+05  0.82125890E+06
 0.41161920E+05  0.82141845E+06
 0.40903040E+05  0.82157646E+06
 0.40644160E+05  0.82173293E+06
 0.40385280E+05  0.82188785E+06
 0.40126400E+05  0.82204123E+06
 0.39867520E+05  0.82219305E+06
 0.39608640E+05  0.82234331E+06
 0.39349760E+05  0.82249201E+06
 0.39090880E+05  0.82263914E+06
 0.38832000E+05  0.82278470E+06
 0.38573120E+05  0.82292868E+06
 0.38314240E+05  0.82307109E+06
 0.38055360E+05  0.82321191E+06
 0.37796480E+05  0.82335114E+06
 0.37537600E+05  0.82348878E+06
 0.37278720E+05  0.82362483E+06
 0.37019840E+05  0.82375927E+06
 0.36760960E+05  0.82389211E+06
 0.36502080E+05  0.82402334E+06
 0.36243200E+05  0.82415295E+06
 0.35984320E+05  0.82428094E+06
 0.35725440E+05  0.82440731E+06
 0.35466560E+05  0.82453206E+06
 0.35207680E+05  0.82465517E+06
 0.34948800E+05  0.82477664E+06
 0.34689920E+05  0.82489647E+06
 0.34431040E+05  0.82501465E+06
 0.34172160E+05  0.82513118E+06
 0.33913280E+05  0.82524605E+06
 0.33654400E+05  0.82535926E+06
 0.33395520E+05  0.82547080E+06
 0.33136640E+05  0.82558066E+06
 0.32877760E+05  0.82568885E+06
 0.32618880E+05  0.82579536E+06
 0.32360000E+05  0.82590018E+06
 0.32101120E+05  0.82600330E+06
 0.31842240E+05  0.82610472E+06
 0.31583360E+05  0.82620443E+06
 0.31324480E+05  0.82630243E+06
 0.31065600E+05  0.82639871E+06
 0.30806720E+05  0.82649326E+06
 0.30547840E+05  0.82658608E+06
 0.30288960E+05  0.82667716E+06
 0.30030080E+05  0.82676648E+06
 0.29771200E+05  0.82685405E+06
 0.29512320E+05  0.82693984E+06
 0.29253440E+05  0.82702385E+06
 0.28994560E+05  0.82710606E+06
 0.28735680E+05  0.82718646E+06
 0.28476800E+05  0.82726502E+06
 0.28217920E+05  0.82734172E+06
 0.27959040E+05  0.82741652E+06
 0.27700160E+05  0.82748937E+06
 0.27441280E+05  0.82756020E+06
 0.27182400E+05  0.82762890E+06
 0.26923520E+05  0.82769531E+06
 0.26664640E+05  0.82775913E+06
 0.26405760E+05  0.82781987E+06
 0.26146880E+05  0.82787654E+06
 0.25888000E+05  0.82792706E+06
 0.25629120E+05  0.82796651E+06
 0.25370240E+05  0.82798197E+06
 0.25111360E+05  0.82793964E+06
 0.24852480E+05  0.82777504E+06
 0.24593600E+05  0.82744386E+06
