Hu_200_00_10 Mu_200_00_10 Hv_200_00_10 Mv_200_00_10 Hw_200_00_10 Mw_200_00_10  Hu_200_00_20 Mu_200_00_20 Hv_200_00_20 Mv_200_00_20 Hw_200_00_20 Mw_200_00_20  Hu_200_00_30 Mu_200_00_30 Hv_200_00_30 Mv_200_00_30 Hw_200_00_30 Mw_200_00_30
 1.000000E+05 8.520812E+05 0.000000E+00 1.963412E+02 0.000000E+00 -1.394891E-04 1.000000E+05 8.504107E+05 0.000000E+00 2.307851E+02 0.000000E+00 -1.171396E-03 1.000000E+05 8.507664E+05 0.000000E+00 2.175797E+02 0.000000E+00  1.608843E-03
 9.900000E+04 8.520066E+05 0.000000E+00 1.996657E+02 0.000000E+00 -1.136220E-04 9.900000E+04 8.503371E+05 0.000000E+00 2.342486E+02 0.000000E+00 -5.745817E-04 9.966667E+04 8.507449E+05 0.000000E+00 2.185985E+02 0.000000E+00  9.871434E-04
 9.800000E+04 8.519310E+05 0.000000E+00 2.030691E+02 0.000000E+00 -1.075915E-04 9.800000E+04 8.502627E+05 0.000000E+00 2.377897E+02 0.000000E+00 -5.437620E-04 9.933333E+04 8.507233E+05 0.000000E+00 2.196279E+02 0.000000E+00  1.048005E-03
 9.700000E+04 8.518543E+05 0.000000E+00 2.065540E+02 0.000000E+00 -1.018669E-04 9.700000E+04 8.501875E+05 0.000000E+00 2.414093E+02 0.000000E+00 -5.187308E-04 9.900000E+04 8.507017E+05 0.000000E+00 2.206646E+02 0.000000E+00  1.032696E-03
 9.600000E+04 8.517766E+05 0.000000E+00 2.101231E+02 0.000000E+00 -9.308475E-05 9.600000E+04 8.501115E+05 0.000000E+00 2.451098E+02 0.000000E+00 -4.721439E-04 9.866667E+04 8.506800E+05 0.000000E+00 2.217086E+02 0.000000E+00  1.093188E-03
 9.500000E+04 8.516977E+05 0.000000E+00 2.137791E+02 0.000000E+00 -8.218261E-05 9.500000E+04 8.500346E+05 0.000000E+00 2.488938E+02 0.000000E+00 -4.145723E-04 9.833333E+04 8.506582E+05 0.000000E+00 2.227599E+02 0.000000E+00  1.078416E-03
 9.400000E+04 8.516178E+05 0.000000E+00 2.175248E+02 0.000000E+00 -7.491101E-05 9.400000E+04 8.499569E+05 0.000000E+00 2.527639E+02 0.000000E+00 -3.457825E-04 9.800000E+04 8.506364E+05 0.000000E+00 2.238187E+02 0.000000E+00  1.139381E-03
 9.300000E+04 8.515368E+05 0.000000E+00 2.213632E+02 0.000000E+00 -6.121595E-05 9.300000E+04 8.498783E+05 0.000000E+00 2.567228E+02 0.000000E+00 -2.656960E-04 9.766667E+04 8.506145E+05 0.000000E+00 2.248850E+02 0.000000E+00  1.125167E-03
 9.200000E+04 8.514547E+05 0.000000E+00 2.252974E+02 0.000000E+00 -4.543013E-05 9.200000E+04 8.497989E+05 0.000000E+00 2.607734E+02 0.000000E+00 -1.291878E-04 9.733333E+04 8.505925E+05 0.000000E+00 2.259590E+02 0.000000E+00  1.186556E-03
 9.100000E+04 8.513714E+05 0.000000E+00 2.293307E+02 0.000000E+00 -2.761371E-05 9.100000E+04 8.497186E+05 0.000000E+00 2.649187E+02 0.000000E+00 -7.212430E-05 9.700000E+04 8.505704E+05 0.000000E+00 2.270405E+02 0.000000E+00  1.172912E-03
