 Mu_650_00_20 	Hu_650_00_20    
 0.10000000E+06  0.85061476E+06
 0.99000000E+05  0.85051895E+06
 0.98000000E+05  0.85042175E+06
 0.97000000E+05  0.85032315E+06
 0.96000000E+05  0.85022310E+06
 0.95000000E+05  0.85012159E+06
 0.94000000E+05  0.85001859E+06
 0.93000000E+05  0.84991406E+06
 0.92000000E+05  0.84980797E+06
 0.91000000E+05  0.84970030E+06
 0.90000000E+05  0.84959100E+06
 0.89000000E+05  0.84948005E+06
 0.88000000E+05  0.84936741E+06
 0.87000000E+05  0.84925304E+06
 0.86000000E+05  0.84913692E+06
 0.85000000E+05  0.84901899E+06
 0.84000000E+05  0.84889923E+06
 0.83000000E+05  0.84877759E+06
 0.82000000E+05  0.84865403E+06
 0.81000000E+05  0.84852852E+06
 0.80000000E+05  0.84840099E+06
 0.79000000E+05  0.84827142E+06
 0.78000000E+05  0.84813975E+06
 0.77000000E+05  0.84800594E+06
 0.76000000E+05  0.84786994E+06
 0.75000000E+05  0.84773169E+06
 0.74000000E+05  0.84759115E+06
 0.73000000E+05  0.84744825E+06
 0.72000000E+05  0.84730295E+06
 0.71000000E+05  0.84715519E+06
 0.70000000E+05  0.84700490E+06
 0.69000000E+05  0.84685203E+06
 0.68000000E+05  0.84669651E+06
 0.67000000E+05  0.84653827E+06
 0.66000000E+05  0.84637724E+06
 0.65000000E+05  0.84621337E+06
 0.64000000E+05  0.84604656E+06
 0.63000000E+05  0.84587675E+06
 0.62000000E+05  0.84570386E+06
 0.61000000E+05  0.84552780E+06
 0.60000000E+05  0.84534849E+06
 0.59000000E+05  0.84516585E+06
 0.58000000E+05  0.84497978E+06
 0.57000000E+05  0.84479018E+06
 0.56000000E+05  0.84459696E+06
 0.55000000E+05  0.84440002E+06
 0.54000000E+05  0.84419925E+06
 0.53000000E+05  0.84399454E+06
 0.52000000E+05  0.84378577E+06
 0.51000000E+05  0.84357283E+06
 0.50000000E+05  0.84335559E+06
 0.49000000E+05  0.84313392E+06
 0.48000000E+05  0.84290768E+06
 0.47000000E+05  0.84267673E+06
 0.46000000E+05  0.84244093E+06
 0.45000000E+05  0.84220011E+06
 0.44000000E+05  0.84195413E+06
 0.43000000E+05  0.84170281E+06
 0.42000000E+05  0.84144596E+06
 0.41000000E+05  0.84118342E+06
 0.40000000E+05  0.84091498E+06
 0.39000000E+05  0.84064044E+06
 0.38000000E+05  0.84035959E+06
 0.37000000E+05  0.84007219E+06
 0.36000000E+05  0.83977802E+06
 0.35000000E+05  0.83947684E+06
 0.34000000E+05  0.83916838E+06
 0.33000000E+05  0.83885236E+06
 0.32000000E+05  0.83852850E+06
 0.31000000E+05  0.83819649E+06
 0.30000000E+05  0.83785601E+06
 0.29000000E+05  0.83750671E+06
 0.28000000E+05  0.83714823E+06
 0.27000000E+05  0.83678019E+06
 0.26000000E+05  0.83640218E+06
 0.25000000E+05  0.83601376E+06
 0.24000000E+05  0.83561448E+06
 0.23000000E+05  0.83520385E+06
 0.22000000E+05  0.83478134E+06
 0.21000000E+05  0.83434637E+06
 0.20000000E+05  0.83389835E+06
 0.19000000E+05  0.83343661E+06
 0.18000000E+05  0.83296044E+06
 0.17000000E+05  0.83246901E+06
 0.16000000E+05  0.83196137E+06
 0.15000000E+05  0.83143619E+06
 0.14000000E+05  0.83089085E+06
 0.13000000E+05  0.83031039E+06
